location-long,location-lat,individual-local-identifier
87.8163240970001,49.1658373010001,"russia"
87.7163818770001,49.1588609820001,"russia"
87.5252824300001,49.1197936,"russia"
87.5140169680001,49.11963857,"russia"
87.506058797,49.1208788050001,"russia"
87.500064331,49.1191734820001,"russia"
87.4915893960001,49.103205465,"russia"
87.487145223,49.096952617,"russia"
87.4817708740001,49.091629944,"russia"
87.4755697020001,49.0875991830001,"russia"
87.438362671,49.0746800740001,"russia"
87.40043217,49.0710110480001,"russia"
87.3622949630001,49.0750934850001,"russia"
87.3237960210001,49.0852737430001,"russia"
87.3081897380001,49.11385081,"russia"
87.287674194,49.1843374640001,"russia"
87.2717578530001,49.205111389,"russia"
87.2179626870001,49.229812724,"russia"
87.190315797,49.237822571,"russia"
87.1604468180001,49.2420083620001,"russia"
87.0760075280001,49.2368923950001,"russia"
87.0503760170001,49.2389077760001,"russia"
87.0366300860001,49.2427318320001,"russia"
87.0245378010001,49.2489330040001,"russia"
87.0171480710001,49.2586481740001,"russia"
87.01688969,49.27275584,"russia"
87.0125488690001,49.2807140100001,"russia"
87.0001465250001,49.2890855920001,"russia"
86.9333288980001,49.324277242,"russia"
86.9130200610001,49.3386949670001,"russia"
86.9050618900001,49.351924134,"russia"
86.9156555580001,49.369959209,"russia"
86.930796753,49.3805528770001,"russia"
86.933070516,49.390113017,"russia"
86.9054753010001,49.4046857710001,"russia"
86.8544189860001,49.4212739060001,"russia"
86.8289941820001,49.433314515,"russia"
86.8140080160001,49.4500060020001,"russia"
86.8142663980001,49.472950338,"russia"
86.822896363,49.492794088,"russia"
86.824343303,49.5092271940001,"russia"
86.8024324950001,49.522249655,"russia"
86.7325659590001,49.550671692,"russia"
86.70951827,49.5544957490001,"russia"
86.6641463620001,49.5474160770001,"russia"
86.642545614,49.5474677540001,"russia"
86.6185677490001,49.557958069,"russia"
86.5993441160001,49.573512675,"russia"
86.5917993570001,49.5872069300001,"russia"
86.5959851480001,49.601883036,"russia"
86.6111263430001,49.62022817,"russia"
86.64709314,49.653662822,"russia"
86.6677120370001,49.6642564910001,"russia"
86.716132853,49.6667886350001,"russia"
86.7364933680001,49.6719046030001,"russia"
86.7556136480001,49.6815164190001,"russia"
86.7758708090001,49.6950039680001,"russia"
86.7514795330001,49.7116954550001,"russia"
86.74052413,49.722754212,"russia"
86.7376302490001,49.7350015260001,"russia"
86.74341801,49.7447166960001,"russia"
86.7525647380001,49.756033834,"russia"
86.759592733,49.767712708,"russia"
86.7589209400001,49.7786164350001,"russia"
86.7483789470001,49.7829572550001,"russia"
86.7308089600001,49.7825438440001,"russia"
86.7002165120001,49.777737936,"russia"
86.6849202880001,49.7782030240001,"russia"
86.6424422610001,49.793860983,"russia"
86.6101961670001,49.795514628,"russia"
86.595365031,49.7808901980001,"russia"
86.5849263920001,49.760064596,"russia"
86.5651343180001,49.742701315,"russia"
86.5582096760001,49.7414610810001,"russia"
86.5522152100001,49.7423395800001,"russia"
86.5456006270001,49.742649638,"russia"
86.53743575,49.739445699,"russia"
86.5244132890001,49.729523824,"russia"
86.5197107340001,49.7268366500001,"russia"
86.4727368570001,49.7083364880001,"russia"
86.4796614990001,49.6972777300001,"russia"
86.4829687910001,49.6862706510001,"russia"
86.4817802330001,49.676917217,"russia"
86.475475708,49.6708193970001,"russia"
86.458267456,49.6656517540001,"russia"
86.3918115640001,49.624982402,"russia"
86.3294897870001,49.610254618,"russia"
86.2721289470001,49.5836412560001,"russia"
86.2463940840001,49.5500515750001,"russia"
86.2142513430001,49.4961530570001,"russia"
86.1772510170001,49.4633385220001,"russia"
86.1366850180001,49.4930007940001,"russia"
86.1115185960001,49.520182597,"russia"
86.0704875080001,49.5262804160001,"russia"
86.027544393,49.5156350710001,"russia"
85.995970093,49.492794088,"russia"
85.9958150630001,49.492794088,"russia"
85.9800537520001,49.4828722130001,"russia"
85.9630005290001,49.478583069,"russia"
85.9462573650001,49.4813735960001,"russia"
85.9314262290001,49.4928457650001,"russia"
85.9318913170001,49.5100540170001,"russia"
85.9421232500001,49.5510851040001,"russia"
85.9405729570001,49.5596117150001,"russia"
85.8998519290001,49.5640558880001,"russia"
85.880731649,49.5632807420001,"russia"
85.8607845460001,49.5574929810001,"russia"
85.827504923,49.5410082,"russia"
85.8092114670001,49.5365123500001,"russia"
85.7944320070001,49.541835023,"russia"
85.7795491950001,49.5560460410001,"russia"
85.7647180590001,49.566846415,"russia"
85.7474064540001,49.5729959110001,"russia"
85.725754028,49.5730475870001,"russia"
85.690045614,49.562919007,"russia"
85.6733024490001,49.5604385380001,"russia"
85.656197551,49.564934387,"russia"
85.642296591,49.577491761,"russia"
85.6284473060001,49.6064822390001,"russia"
85.6148564040001,49.6171275840001,"russia"
85.5971830650001,49.6192979940001,"russia"
85.580801636,49.6133552050001,"russia"
85.5492790130001,49.5952684530001,"russia"
85.5312956140001,49.5891189580001,"russia"
85.5132088630001,49.585346579,"russia"
85.4756917730001,49.583072816,"russia"
85.4509904380001,49.5884471640001,"russia"
85.4072721760001,49.609634502,"russia"
85.3840177820001,49.6156806440001,"russia"
85.3642257090001,49.6141303510001,"russia"
85.3420565190001,49.6081875620001,"russia"
85.3203524170001,49.5994542450001,"russia"
85.3027824300001,49.5901008110001,"russia"
85.2630949300001,49.581522522,"russia"
85.2236141360001,49.5957335410001,"russia"
85.1950370690001,49.625654195,"russia"
85.185115194,49.7050291960001,"russia"
85.1632560630001,49.733967998,"russia"
85.0981437580001,49.782182109,"russia"
85.0817106530001,49.8000104780001,"russia"
85.0759228920001,49.8139114390001,"russia"
85.0707552490001,49.85023997,"russia"
85.0562858480001,49.8733393360001,"russia"
85.0326180420001,49.8849665330001,"russia"
84.9757739670001,49.894009908,"russia"
84.9545866290001,49.906929017,"russia"
84.95065922,49.9332839970001,"russia"
84.9547933360001,49.990489808,"russia"
84.962183065,49.9918850710001,"russia"
84.9646118580001,49.9927635700001,"russia"
84.9647152100001,49.9927635700001,"russia"
85.0093636480001,49.997827861,"russia"
85.0254350180001,50.004080709,"russia"
85.028328898,50.0205138150001,"russia"
85.0201123460001,50.0330711880001,"russia"
84.98672937,50.066970927,"russia"
84.9757739670001,50.0751874800001,"russia"
84.910248251,50.0950829060001,"russia"
84.8879757090001,50.0967365530001,"russia"
84.873764689,50.092447409,"russia"
84.8558846440001,50.0848509730001,"russia"
84.8386763920001,50.0808202110001,"russia"
84.8261190190001,50.0867113240001,"russia"
84.8015210370001,50.123763327,"russia"
84.7906689860001,50.132755026,"russia"
84.7732023520001,50.138336081,"russia"
84.7381140540001,50.1353905240001,"russia"
84.7202856850001,50.136630758,"russia"
84.6893831780001,50.1510484820001,"russia"
84.6666972250001,50.1700137330001,"russia"
84.6419958910001,50.184896546,"russia"
84.6059774170001,50.1874286910001,"russia"
84.5692871500001,50.185516663,"russia"
84.5356974690001,50.1909426880001,"russia"
84.5045882570001,50.2045852670001,"russia"
84.4757528080001,50.227064515,"russia"
84.4407678630001,50.2446345010001,"russia"
84.4052661540001,50.230836894,"russia"
84.368782593,50.2118199670001,"russia"
84.331368856,50.2134736130001,"russia"
84.3243408610001,50.2196231090001,"russia"
84.3121452240001,50.236366272,"russia"
84.3043937580001,50.243239238,"russia"
84.291578004,50.248045146,"russia"
84.2618123780001,50.2536262010001,"russia"
84.2499784760001,50.259930725,"russia"
84.239643189,50.2782241820001,"russia"
84.2394881590001,50.299308167,"russia"
84.2418652750001,50.3218907680001,"russia"
84.2393848060001,50.3446283980001,"russia"
84.218404175,50.377701314,"russia"
84.1918424890001,50.407725322,"russia"
84.1767529700001,50.4391445930001,"russia"
84.1979403080001,50.4931464640001,"russia"
84.1956148680001,50.511439921,"russia"
84.185951376,50.5279763800001,"russia"
84.1512248130001,50.5525743610001,"russia"
84.1450236410001,50.5660619100001,"russia"
84.1423364670001,50.581513163,"russia"
84.1330347090001,50.6007884730001,"russia"
84.1017187910001,50.6285903940001,"russia"
84.0885972750001,50.634612502,"russia"
83.9758350020001,50.6863646450001,"russia"
83.9497384040001,50.7178872690001,"russia"
83.9505652260001,50.7804157520001,"russia"
83.9219881590001,50.8007245890001,"russia"
83.8828174240001,50.8119900510001,"russia"
