location-long,location-lat,individual-local-identifier
-40.875803189,65.0965029970001,"railway"
-40.8536677729999,65.0658633480001,"railway"
-40.8693741529999,65.063177802,"railway"
-40.9384659499999,65.0828311220001,"railway"
-41.0159805979999,65.0892601580001,"railway"
-41.0571182929999,65.0997582050001,"railway"
-41.0750626289999,65.1204287780001,"railway"
-41.0822647779999,65.1317406270001,"railway"
-41.0982559889999,65.1299502620001,"railway"
-41.1146134109999,65.1225039730001,"railway"
-41.1227921209999,65.1170108090001,"railway"
-41.1275528639999,65.104193427,"railway"
-41.1270645819999,65.0908877620001,"railway"
-41.1210017569999,65.080267645,"railway"
-41.0776261059999,65.0676944030001,"railway"
-41.0335994129999,65.028021552,"railway"
-41.0067439439999,65.014593817,"railway"
-41.0108943349999,65.0047061220001,"railway"
-41.0135391919999,65.000921942,"railway"
-40.9924210279999,64.9903018250001,"railway"
-40.9831436839999,64.97675202,"railway"
-40.9891251289999,64.96507396,"railway"
-41.0135391919999,64.959947007,"railway"
-41.1301163399999,64.981390692,"railway"
-41.1501358709999,64.9767113300001,"railway"
-41.1495662099999,64.960638739,"railway"
-41.1463923819999,64.9535179710001,"railway"
-41.1227921209999,64.939439195,"railway"
-41.1122126939999,64.9305687520001,"railway"
-41.0734757149999,64.887193101,"railway"
-41.0668025379999,64.8819847680001,"railway"
-41.0545548169999,64.877386786,"railway"
-41.0140274729999,64.8757998720001,"railway"
-40.9932755199999,64.8721377620001,"railway"
-40.9930720689999,64.863714911,"railway"
-40.9667048819999,64.8646507830001,"railway"
-40.8832087879999,64.8575707050001,"railway"
-40.8963516919999,64.852240302,"railway"
-40.9200333319999,64.838568427,"railway"
-40.9347224599999,64.8358421900001,"railway"
-40.965158658,64.8362490910001,"railway"
-40.9796036449999,64.8345401060001,"railway"
-40.9930720689999,64.829575914,"railway"
-40.8846329419999,64.8091494810001,"railway"
-40.875803189,64.7886416690001,"railway"
-40.7897843089999,64.74628327,"railway"
-40.7634985019999,64.740220445,"railway"
-40.7341202459999,64.7393252620001,"railway"
-40.7048233709999,64.7338320980001,"railway"
-40.6868790359999,64.7196312520001,"railway"
-40.691477017,64.6924502620001,"railway"
-40.6290583979999,64.692084052,"railway"
-40.6044815749999,64.6834984400001,"railway"
-40.5946345689999,64.6620140650001,"railway"
-40.5947159499999,64.6558291690001,"railway"
-40.5959366529999,64.6526553410001,"railway"
-40.5991104809999,64.651556708,"railway"
-40.6054581369999,64.6514346370001,"railway"
-40.6103409499999,64.6485863300001,"railway"
-40.6085505849999,64.6420352230001,"railway"
-40.6020401679999,64.6310082050001,"railway"
-40.5997208319999,64.6201846370001,"railway"
-40.5933731759999,64.6036644550001,"railway"
-40.5946345689999,64.596869208,"railway"
-40.5857641269999,64.5794945330001,"railway"
-40.5705460279999,64.5323753930001,"railway"
-40.5611059239999,64.5149600280001,"railway"
-40.617990689,64.4840355490001,"railway"
-40.6351212229999,64.4671084660001,"railway"
-40.6054581369999,64.459662177,"railway"
-40.5695694649999,64.45697663,"railway"
-40.4012751939999,64.417181708,"railway"
-40.3867081369999,64.408148505,"railway"
-40.3729141919999,64.395982164,"railway"
-40.3681534499999,64.392767645,"railway"
-40.3692927729999,64.373968817,"railway"
-40.3655899729999,64.366441148,"railway"
-40.3594864569999,64.362982489,"railway"
-40.3583064439999,64.3590355490001,"railway"
-40.3692927729999,64.349798895,"railway"
-40.3833715489999,64.344712632,"railway"
-40.4139705069999,64.342230536,"railway"
-40.4245499339999,64.3368187520001,"railway"
-40.4378555979999,64.35179271,"railway"
-40.4571427069999,64.3584658870001,"railway"
-40.4789119129999,64.3574893250001,"railway"
-40.4996231759999,64.349798895,"railway"
-40.5089005199999,64.341782945,"railway"
-40.512033658,64.3352725280001,"railway"
-40.5174454419999,64.3308779970001,"railway"
-40.5338028639999,64.329331773,"railway"
-40.5486547519999,64.33226146,"railway"
-40.5535782539999,64.339544989,"railway"
-40.5502823559999,64.3484561220001,"railway"
-40.5406388009999,64.356634833,"railway"
-40.5406388009999,64.3640811220001,"railway"
-40.6061905589999,64.3743350280001,"railway"
-40.6163223949999,64.380804755,"railway"
-40.6230362619999,64.3921572940001,"railway"
-40.6384985019999,64.3897972680001,"railway"
-40.6672257149999,64.3777529970001,"railway"
-40.6816300119999,64.3797061220001,"railway"
-40.7076716789999,64.388657945,"railway"
-40.7187393869999,64.3907738300001,"railway"
-40.7319229809999,64.3883324240001,"railway"
-40.7574763659999,64.3784854190001,"railway"
-40.7733455069999,64.3777529970001,"railway"
-40.7672013009999,64.383978583,"railway"
-40.8002009759999,64.3887393250001,"railway"
-40.8361710279999,64.3803164730001,"railway"
-40.930490689,64.3336449240001,"railway"
-40.9655655589999,64.325140692,"railway"
-41.0777481759999,64.3111026060001,"railway"
-41.3356827459999,64.329331773,"railway"
-41.3321427069999,64.3323428410001,"railway"
-41.3220108709999,64.342962958,"railway"
-41.3531794909999,64.3496768250001,"railway"
-41.4586075509999,64.329331773,"railway"
-41.502756314,64.330511786,"railway"
-41.5248917309999,64.326117255,"railway"
-41.539133267,64.305609442,"railway"
-41.5684708319999,64.28148021,"railway"
-41.5674942699999,64.2661807310001,"railway"
-41.5533341139999,64.25775788,"railway"
-41.5313614569999,64.254339911,"railway"
-41.4633682929999,64.2544619810001,"railway"
-41.444162564,64.2476260440001,"railway"
-41.4487198559999,64.2303734400001,"railway"
-41.4554337229999,64.219468492,"railway"
-41.4523005849999,64.2135277360001,"railway"
-41.3969620429999,64.181870835,"railway"
-41.3872777989999,64.1785342470001,"railway"
-41.0871475899999,64.1492373720001,"railway"
-41.0613907539999,64.14061107,"railway"
-41.0468643869999,64.1287295590001,"railway"
-41.0244848299999,64.0994326840001,"railway"
-41.0064591139999,64.0860049500001,"railway"
-40.9840388659999,64.080308335,"railway"
-40.9593399729999,64.082749742,"railway"
-40.9374893869999,64.092759507,"railway"
-40.9241837229999,64.10956452,"railway"
-40.9454646479999,64.118638414,"railway"
-40.9651993479999,64.130072333,"railway"
-40.9556778639999,64.1411807310001,"railway"
-40.9287003249999,64.1568057310001,"railway"
-40.9179581369999,64.1648623720001,"railway"
-40.9105118479999,64.1580264340001,"railway"
-40.8863419259999,64.166693427,"railway"
-40.7672013009999,64.1648623720001,"railway"
-40.7613419259999,64.1624209660001,"railway"
-40.7490942049999,64.1532250020001,"railway"
-40.742990689,64.1511904970001,"railway"
-40.7355850899999,64.152818101,"railway"
-40.7289932929999,64.15623607,"railway"
-40.7215470039999,64.1588402360001,"railway"
-40.7119848299999,64.1580264340001,"railway"
-40.6959122389999,64.1500511740001,"railway"
-40.6866348949999,64.14081452,"railway"
-40.6761368479999,64.133246161,"railway"
-40.5916235019999,64.1205101580001,"railway"
-40.5609431629999,64.1068789730001,"railway"
-40.5480850899999,64.0860049500001,"railway"
-40.5423884759999,64.0676944030001,"railway"
-40.5452774729999,64.05878327,"railway"
-40.5773005849999,64.0515811220001,"railway"
-40.5975235669999,64.0430362,"railway"
-40.6166072259999,64.031927802,"railway"
-40.6299942699999,64.0208194030001,"railway"
-40.6483048169999,64.01190827,"railway"
-40.6412247389999,64.0003115910001,"railway"
-40.6020401679999,63.979234117,"railway"
-40.6239314439999,63.967271226,"railway"
-40.6453751289999,63.9659691430001,"railway"
-40.6658422519999,63.9712588560001,"railway"
-40.7161759109999,63.993882554,"railway"
-40.7332657539999,63.994086005,"railway"
-40.7460831369999,63.979234117,"railway"
-40.7265518869999,63.9737002620001,"railway"
-40.7187393869999,63.9730492210001,"railway"
-40.7446182929999,63.9627139340001,"railway"
-40.8416641919999,63.9525820980001,"railway"
-40.8089493479999,63.9390322940001,"railway"
-40.7607315749999,63.9332542990001,"railway"
-40.7120255199999,63.935288804,"railway"
-40.677805142,63.945746161,"railway"
-40.6379288399999,63.9329287780001,"railway"
-40.6216934889999,63.9246279970001,"railway"
-40.6225479809999,63.9109561220001,"railway"
-40.6225479809999,63.9042015650001,"railway"
-40.6095271479999,63.891587632,"railway"
-40.6026098299999,63.8870303410001,"railway"
-40.5946345689999,63.8836937520001,"railway"
-40.5946345689999,63.8768578150001,"railway"
-40.6083064439999,63.86713288,"railway"
-40.5971573559999,63.8550479190001,"railway"
-40.5611059239999,63.83588288,"railway"
-40.5611059239999,63.8284365910001,"railway"
-40.5904841789999,63.8220889340001,"railway"
-40.6141251289999,63.807562567,"railway"
