location-long,location-lat,individual-local-identifier
-2.66535397,51.6172549500001,"great_britain"
-2.69375566299993,51.596177476,"great_britain"
-2.71312415299991,51.586615302,"great_britain"
-2.76048743399991,51.579779364,"great_britain"
-2.7980850899999,51.5635033220001,"great_britain"
-2.81639563699991,51.5555687520001,"great_britain"
-2.85871334499996,51.546128648,"great_britain"
-2.94334876199991,51.5425479190001,"great_britain"
-2.95628821499992,51.5457217470001,"great_britain"
-2.96410071499992,51.5528018250001,"great_britain"
-2.96947180899991,51.5598819030001,"great_britain"
-2.97468014199995,51.562974351,"great_britain"
-2.98403886599993,51.55853913,"great_britain"
-3.01024329299992,51.538031317,"great_britain"
-3.01569576699995,51.5316429710001,"great_britain"
-3.07371985599991,51.5083682310001,"great_britain"
-3.07648678299995,51.50775788,"great_britain"
-3.08893795499995,51.505072333,"great_britain"
-3.10562089799993,51.4972191430001,"great_britain"
-3.13170325399994,51.48041413,"great_britain"
-3.13508053299995,51.476304429,"great_britain"
-3.14093990799995,51.46478913,"great_britain"
-3.14537512899994,51.459947007,"great_britain"
-3.15241451699995,51.4571800800001,"great_britain"
-3.16665605399993,51.456000067,"great_britain"
-3.17239335799991,51.4532738300001,"great_britain"
-3.17271887899994,51.45311107,"great_britain"
-3.16006425699993,51.431830145,"great_britain"
-3.16714433499993,51.4104678410001,"great_britain"
-3.1848038399999,51.3976097680001,"great_britain"
-3.20400956899994,51.401597398,"great_britain"
-3.21886145699995,51.402777411,"great_britain"
-3.28941809799994,51.3842227230001,"great_britain"
-3.53917395699995,51.3985049500001,"great_britain"
-3.55744381399995,51.4050967470001,"great_britain"
-3.5753067699999,51.4204369160001,"great_britain"
-3.60472571499992,51.4457054710001,"great_britain"
-3.66319739499994,51.4762230490001,"great_britain"
-3.6769913399999,51.477036851,"great_britain"
-3.69542395699995,51.4715029970001,"great_britain"
-3.71792558499993,51.4785830750001,"great_britain"
-3.73761959499996,51.4908714860001,"great_britain"
-3.74803626199991,51.500921942,"great_britain"
-3.74941972599993,51.5053571640001,"great_britain"
-3.74767005099994,51.507025458,"great_britain"
-3.74453691299993,51.5076358090001,"great_britain"
-3.74185136599993,51.5083682310001,"great_britain"
-3.74933834499996,51.528062242,"great_britain"
-3.75190182199992,51.5330671240001,"great_britain"
